1,2,3,4,5,url
 Java, Shell, JavaScript, Go, Kotlin,https://github.com/Hotmart-Org
 JavaScript, Python, PHP, Java, Ruby,https://github.com/hugeinc
 JavaScript, Python, Go, Shell, PHP,https://github.com/hurbcom
 JavaScript, HCL, Smarty, Python, Objective-C,https://github.com/idwall
 Java, TypeScript,,,,https://github.com/ifood
 Java, Kotlin, Swift, Ruby, Python,https://github.com/aisdigital
 Java, JavaScript, Python, TypeScript, Go,https://github.com/intuit
,,,,,https://github.com/Invillia
 C++,,,,,https://github.com/nvidia-isaac
,,,,,https://github.com/itau
 Kotlin, Python, HTML,,,https://github.com/itidigital
 JavaScript, Go, TypeScript, DIGITAL Command Language,,https://github.com/james-delivery
 Java, C#, JavaScript, Python, PHP,https://github.com/JohnDeere
 JavaScript, Ruby, Python, Java, Go,https://github.com/jusbrasil
 Python,,,,,https://github.com/gokavak
 JavaScript, TypeScript, Python, Dockerfile, Elixir,https://github.com/kovihq
 Python, JavaScript, Shell, Ruby, Java,https://github.com/chaordic
 JavaScript, Java, Shell, Python, Jupyter Notebook,https://github.com/livup
 Ruby, Python, Elixir, HTML, PHP,https://github.com/locaweb
 Python, JavaScript, Jupyter Notebook, Java, Go,https://github.com/loft-br
 Python, JavaScript, Go, CSS, Java,https://github.com/loggi
 Python, JavaScript, Go, Shell, Objective-C,https://github.com/luizalabs
 Ruby, Shell, Java, JavaScript, Scala,https://github.com/Mobile4You
 JavaScript, PHP, Shell, TypeScript, Python,https://github.com/madeiramadeirabr
 Go, JavaScript, Java, Shell, Objective-C,https://github.com/medallia
 Python, JavaScript, PHP, Java, Go,https://github.com/meliuz
 JavaScript, PHP, Dockerfile, Shell, TypeScript,https://github.com/MemedDev
 Java, Python, JavaScript, Ruby, Go,https://github.com/mercadolibre
,,,,,https://github.com/Movile
,,,,,https://github.com/n26
,,,,,https://github.com/neon
 Java, JavaScript, Python, Go, HTML,https://github.com/Netflix
 Ruby,,,,,https://github.com/NexoosBR
 Python, Ruby, Shell, Go, TypeScript,https://github.com/noverde
 Python, PHP, TypeScript,,,https://github.com/olist
 Shell, Java, JavaScript, Python, Go,https://github.com/olxbr
,,,,,https://github.com/openco
 JavaScript, Go, PHP, C#, CSS,https://github.com/pagarme
 PHP, Java, Objective-C, Ruby, C#,https://github.com/pagseguro
 JavaScript, Java,,,,https://github.com/pagbank
 JavaScript, Java, PHP, Ruby, C#,https://github.com/paypal
 JavaScript, Go, Java, Ruby, PHP,https://github.com/PayU
 Python, Java, HCL,,,https://github.com/pedidosya
 PHP, HCL, Java, Python, Swift,https://github.com/PicPay
 Ruby, JavaScript, Elixir, API Blueprint, HTML,https://github.com/pipefy
 Java, Clojure,,,,https://github.com/piposaude
 JavaScript, Go, Java, Shell, Mustache,https://github.com/pismo
 JavaScript, HTML, TypeScript, C#, CSS,https://github.com/platzi
 Go, Dockerfile, JavaScript, Python, Java,https://github.com/quintoandar
 Go,,,,,https://github.com/rappiinc
 Ruby, JavaScript, Go, HTML, Dockerfile,https://github.com/ResultadosDigitais
 JavaScript, Java, Starlark,,,https://github.com/recarga
 Jinja, Python, Shell, Ruby, Java,https://github.com/RedHatOfficial
 Python, TypeScript, JavaScript, Clojure, HTML,https://github.com/revolut-engineering
 Python,,,,,https://github.com/RunaCapital
,,,,,https://github.com/banco-safra
 Java, Go, Elixir, Dart, HCL,https://github.com/saltpay
 Dart,,,,,https://github.com/oisamitech
 JavaScript, TypeScript, PHP, Dockerfile,,https://github.com/sanar
,,,,,https://github.com/gruposantander
 Java,,,,,https://github.com/serasaexperian-eid
,,,,,https://github.com/Shopee
 JavaScript, Java, Go, Shell, C#,https://github.com/softplan
 JavaScript, Ruby, Scala, Go, Python,https://github.com/soundcloud
 Java, Python, Scala, JavaScript, Go,https://github.com/spotify
 Python, Go, C#, JavaScript, PowerShell,https://github.com/stone-payments
 Go, Ruby, JavaScript, TypeScript, Scala,https://github.com/stripe
 Go, Ruby, Java, Objective-C, Swift,https://github.com/sumup
 PHP, R,,,,https://github.com/sympla
 C#, JavaScript, Java, TypeScript, Python,https://github.com/takenet
 Ruby, JavaScript, Python, Java, TypeScript,https://github.com/thoughtworks
 Ruby, JavaScript, Swift, Python, Objective-C,https://github.com/toptal
 TypeScript, Java, JavaScript, C#, xBase,https://github.com/totvs
 Java, Shell, Python, Perl, C#,https://github.com/trustly
 JavaScript, Python, Shell, Elixir, TypeScript,https://github.com/betrybe
 Scala, Java, JavaScript, C, HTML,https://github.com/twitter
 JavaScript, Java, Python, Go, Swift,https://github.com/uber
 TypeScript, JavaScript, Python, Java, Go,https://github.com/viavarejo
 JavaScript, TypeScript, CoffeeScript, CSS, HTML,https://github.com/vtex
 JavaScript, Clojure, Java, Objective-C, Go,https://github.com/walmartlabs
 JavaScript, C#, TypeScript, Swift, Go,https://github.com/warrenbrasil
 JavaScript, Python, C, Go, Jupyter Notebook,https://github.com/wayfair
 JavaScript, Ruby, Go, CSS, Shell,https://github.com/wework
 Go,,,,,https://github.com/wildlife-studios
 Java, Python, Go, JavaScript, Objective-C,https://github.com/transferwise
 Elixir, Go, Erlang, Clojure, Dart,https://github.com/Xerpa
,,,,,https://github.com/grupo-xp
 HCL, Ruby, Java, Dart, LookML,https://github.com/youse-seguradora
 JavaScript, Python, PHP, TypeScript, Java,https://github.com/ZXVentures
 JavaScript, Ruby, Go, TypeScript, Java,https://github.com/zendesk
 JavaScript, Objective-C, Java, TypeScript,,https://github.com/Zenklub
 JavaScript, Java, TypeScript, Groovy, Ruby,https://github.com/zenvia
 JavaScript, Java, Go, Swift, Ruby,https://github.com/iZettle
 C++, JavaScript, Python, C, Java,https://github.com/getzoop
 Go, JavaScript, TypeScript, Kotlin, Shell,https://github.com/ZupIT
 Go, Smarty,,,,https://github.com/mercadobitcoin
 Ruby, C, Rust, Python, Go,https://github.com/cloudwalk
 JavaScript, Python, Go, TypeScript, Smarty,https://github.com/corabank
 Python, R, HTML, Go,,https://github.com/tembici
 PHP, Java, JavaScript, Lua, Ruby,https://github.com/intelipost
 PHP, Elixir, JavaScript, Python, Kotlin,https://github.com/ingresse
 JavaScript, Dockerfile, Java, Dart, TypeScript,https://github.com/BeeTech-global
 Java, Clojure,,,,https://github.com/piposaude
 JavaScript, Python, Shell, Elixir, TypeScript,https://github.com/betrybe
 C++, JavaScript, C, HTML, Python,https://github.com/swap-dev
,,,,,https://github.com/emcasa
 Go, Shell, JavaScript, TypeScript, Java,https://github.com/inloco
 Python, PHP, TypeScript,,,https://github.com/olist
 JavaScript, C#, TypeScript, Swift, Go,https://github.com/warrenbrasil
 Ruby, JavaScript, Elixir, API Blueprint, HTML,https://github.com/pipefy
 Go, Dockerfile, JavaScript, Shell, Ruby,https://github.com/escaletech
 C++, JavaScript, Python, C, Java,https://github.com/getzoop
 Python, JavaScript, Dockerfile, Shell, CSS,https://github.com/buserbrasil
 JavaScript, TypeScript, Python, Dockerfile, Elixir,https://github.com/kovihq
 JavaScript, TypeScript, Shell, Java, Objective-C,https://github.com/RocketChat
 JavaScript, Go, Java, Shell, Mustache,https://github.com/pismo
 Python, JavaScript, Ruby, Kotlin, Dart,https://github.com/alice-health
 JavaScript, Erlang, Elixir, HTML,,https://github.com/solfacil
 JavaScript, PHP, Dockerfile, Shell, TypeScript,https://github.com/MemedDev
 C#,,,,,https://github.com/omiexperience
 Python, Shell, Java, Scala, JavaScript,https://github.com/Cobliteam
 Ruby, JavaScript, Python, TypeScript, Shell,https://github.com/pier-digital
 PLpgSQL,,,,,https://github.com/justosbr
