ceoRating,ceoRatingsCount,businessOutlookRating,compensationAndBenefitsRating,cultureAndValuesRating,careerOpportunitiesRating,overallRating,recommendToFriendRating,seniorManagementRating,workLifeBalanceRating,reviewCount,diversityAndInclusionRating,recomend,url
0.92,730,0.83,4.1,4.6,4.3,4.4,0.91,4.1,4.5,2722,4.4,91,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Red-Hat-EI_IE8868.13,20.htm"
-1,0,0.87,4.2,4.4,4.4,4.4,0.92,4,4.2,117,4.3,,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Remessa-Online-EI_IE2125029.13,27.htm"
0.77,501,0.69,3.9,3.6,4,3.9,0.73,3.5,3.3,808,4,73,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Revolut-EI_IE1176471.13,20.htm"
0.51,55,0.61,4,3.3,3.2,3.8,0.74,3.3,3.2,1130,3.2,74,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Safra-EI_IE15189.13,24.htm"
0.86,23,0.69,3.6,3.9,3.6,3.9,0.74,3.5,3.8,50,4.2,74,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Sami-Sa%C3%BAde-EI_IE3577625.13,23.htm"
-1,0,0.78,3.8,4.7,4.2,4.3,0.83,4.1,4.2,96,4.7,83,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Sanar-EI_IE2313421.13,18.htm"
0.81,343,0.62,3.9,3.7,3.6,3.8,0.74,3.4,3.4,11645,4,74,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Santander-EI_IE828048.13,22.htm"
0.82,13,0.67,4,4,3.9,4.1,0.78,3.7,3.7,323,4.1,78,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Serasa-EI_IE2469855.13,19.htm"
0.8,968,0.7,3.8,3.7,3.8,3.8,0.73,3.4,3.1,2698,3.8,73,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Shopee-EI_IE1263091.13,19.htm"
0.94,109,0.7,3.6,4.1,3.9,4.2,0.87,3.9,4.2,908,4.3,87,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Softplan-EI_IE656864.13,21.htm"
-1,0,0.71,3.8,4.3,3.9,4.1,0.82,3.7,3.4,2699,4.3,82,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Stone-EI_IE1093539.13,18.htm"
0.91,201,0.86,4.3,4,4,4,0.75,3.8,3.2,301,4,75,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Stripe-EI_IE671932.13,19.htm"
0.77,44,0.52,3.7,3.9,3.8,3.9,0.76,3.2,3.5,300,4.2,76,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-SumUp-EI_IE673829.13,18.htm"
-1,0,0.65,3.6,4.2,3.5,4.2,0.83,3.6,3.9,143,4.2,83,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Sympla-EI_IE1622849.13,19.htm"
-1,0,0.84,4.1,4.6,4.1,4.5,0.94,4.1,4.5,295,4.6,94,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Take-Blip-EI_IE754538.13,22.htm"
0.98,88,0.87,4.1,4.8,4.6,4.7,0.95,4.3,4.5,423,4.9,95,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Thoughtworks-EI_IE38334.13,25.htm"
0.77,236,0.74,4.1,4.1,4.1,4.1,0.8,4,4.2,361,4.1,80,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Toptal-EI_IE882070.13,19.htm"
0.9,143,0.77,3.6,4.2,3.8,4.2,0.88,3.8,4,2751,4.4,88,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-TOTVS-EI_IE140298.13,18.htm"
0.96,17,0.78,4,4.2,4.1,4.2,0.86,3.9,4.1,95,4.2,86,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Trustly-EI_IE962720.13,20.htm"
-1,0,0.91,4.5,4.7,4.6,4.6,0.95,4.4,4.1,88,4.4,95,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Trybe-Brazil-EI_IE3790463.13,25.htm"
0.88,133,0.64,4,4.1,3.6,4.3,0.83,3.8,3.8,767,4.2,83,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Uber-EI_IE575263.13,17.htm"
-1,0,0.83,3.8,4.5,4.3,4.5,0.94,4.3,4.5,613,4.5,94,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Compass-Uol-EI_IE1331935.13,24.htm"
-1,0,0.67,3.5,3.8,3.6,4,0.79,3.5,3.5,2449,4.3,79,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Via-EI_IE2002288.13,16.htm"
0.92,104,0.8,4,4.3,4.1,4.3,0.88,3.9,4,357,4.2,88,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-VTEX-EI_IE713645.13,17.htm"
-1,0,0.86,3.9,4.7,4.4,4.6,0.96,4.3,4.5,105,4.6,96,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Warren-EI_IE2233093.13,19.htm"
0.83,509,0.51,3.7,3.8,3.2,3.6,0.62,3,3.6,2311,4,62,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-WeWork-EI_IE661275.13,19.htm"
-1,0,0.68,4.2,3.9,3.8,3.9,0.75,3,3.7,132,3.1,75,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Wildlife-Studios-EI_IE1192101.13,29.htm"
-1,0,0.93,4.4,4.8,4.6,4.8,0.96,4.4,4.7,203,4.9,96,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-will-bank-EI_IE4209911.13,22.htm"
-1,0,0.54,2.7,2.8,3,3,0.54,2.8,3.2,17,2.9,54,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Betterfly-EI_IE4344332.13,22.htm"
-1,0,0.73,4.5,4.3,4.1,4.5,0.89,3.8,4.5,120,4.7,89,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Youse-Seguros-EI_IE1273564.13,26.htm"
-1,0,0.9,4.4,4.6,4.5,4.7,0.93,4.4,4.4,167,4.6,93,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Z%C3%A9-Delivery-EI_IE3219952.13,24.htm"
1,4,0.87,4.8,4.4,4.3,4.3,1,4.6,4,18,4.1,100,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Zendesk-EI_IE360923.13,20.htm"
-1,0,0.81,4,4.2,4.1,4.1,0.82,4.1,4.1,33,4.2,82,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Zenklub-EI_IE3336218.13,20.htm"
-1,0,0.85,4.2,4.4,4.2,4.4,0.89,4.1,4.4,149,4.7,89,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Zenvia-EI_IE1290025.13,19.htm"
0.92,23,0.66,4.3,4.2,3.8,4,0.82,3.6,3.8,102,4.6,82,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Zoop-EI_IE2850162.13,17.htm"
0.96,154,0.87,4.5,4.7,4.5,4.6,0.94,4.2,4.5,1140,4.6,94,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Zup-Innovation-EI_IE2482761.13,27.htm"
-1,0,0.84,4.4,4.1,4,4.4,0.88,3.6,4.2,58,3.9,88,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Mercado-Bitcoin-EI_IE2748106.13,28.htm"
-1,0,0.9,4.5,4.5,4.5,4.6,0.92,4.3,4.4,65,4.5,92,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-CloudWalk-Inc-EI_IE2722308.13,26.htm"
-1,0,0.78,3.2,4.1,3.8,3.9,0.78,3.7,3.9,81,4.4,78,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Tembici-EI_IE2486348.13,20.htm"
-1,0,0.86,3.9,4,4.1,4.3,0.91,4.1,4.2,115,4.1,91,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Intelipost-EI_IE2484852.13,23.htm"
-1,0,0.58,3.7,4.3,3.4,4,0.71,3.7,3.4,16,3.8,71,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Ingresse-EI_IE2384355.13,21.htm"
-1,0,1,3.8,3.7,4,4.2,0.75,3.7,4,4,3.7,75,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Swap-Brazil-EI_IE4742954.13,24.htm"
-1,0,0.92,4.3,4.3,4.4,4.4,0.98,4,3.7,34,4.4,98,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-EmCasa-Brazil-EI_IE2828637.13,26.htm"
-1,0,0.64,3.9,4.3,4.3,4.3,0.8,4,4.4,36,4.2,80,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Rocket-Chat-EI_IE2244250.13,24.htm"
0.94,31,0.83,4.2,4.4,4.1,4.4,0.86,3.9,4.1,242,4.3,86,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Omie-EI_IE2483805.13,17.htm"
-1,0,0.82,3.9,4.3,4,4.4,0.86,4,4.3,71,3.9,86,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Cobli-EI_IE2304948.13,18.htm"
1,10,0.87,4.4,4.6,4.4,4.6,0.88,4.3,4.4,32,4.2,88,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Pier-EI_IE2848417.13,17.htm"
-1,0,1,4.8,5,4.9,5,1,5,5,28,4.4,100,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Justos-EI_IE5222765.13,19.htm"
