ceoRating,ceoRatingsCount,businessOutlookRating,compensationAndBenefitsRating,cultureAndValuesRating,careerOpportunitiesRating,overallRating,recommendToFriendRating,seniorManagementRating,workLifeBalanceRating,reviewCount,diversityAndInclusionRating,recomend,url
-1,0,1,4.3,4.3,4.6,4.6,0.88,4.3,4.4,8,3.7,88,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-180-Seguros-EI_IE6397601.13,24.htm"
-1,0,0.88,4.7,4.4,4.4,4.5,0.76,4.3,3.5,10,4.4,76,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-ADDI-EI_IE3843870.13,17.htm"
-1,0,0.62,3.6,3.9,3.4,3.8,0.72,3.2,3.3,479,4.4,72,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-99-EI_IE1384588.13,15.htm"
0.95,131,0.86,3.4,4.5,4,4.2,0.87,4,4.5,308,4.2,87,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Adyen-EI_IE684495.13,18.htm"
-1,0,0.74,4.3,4,4.1,4.2,0.85,3.8,3.8,579,4.2,85,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Agi-EI_IE1997188.13,16.htm"
